"SRS ID","Body Site","Assembly file location","Assembly MD5","Assembly File Size","Reads file location","Reads MD5","Reads File Size"
"SRS017209","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS017209.scaffolds.fa.bz2","3f0550b587c5e9e0eb38221afeb4a360","30707215","/data/Illumina/tongue_dorsum/SRS017209.tar.bz2","a47eff41bbcfa4ece615988e77020512","6074802435"
"SRS019894","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS019894.scaffolds.fa.bz2","85bd4910136c1aebfa1afd2247fc7f83","23491129","/data/Illumina/tongue_dorsum/SRS019894.tar.bz2","96ab8b94903a51ddfb272803aa6a32b2","6269259390"
"SRS022077","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS022077.scaffolds.fa.bz2","7b7336d6fe30c033fa15d61a739b1a21","34789097","/data/Illumina/tongue_dorsum/SRS022077.tar.bz2","140ad82614fa1be47772ba3ffec064b0","6503340151"
"SRS023352","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS023352.scaffolds.fa.bz2","9026db5b0042a8c80e253a4354abce47","30629463","/data/Illumina/tongue_dorsum/SRS023352.tar.bz2","c55ffb39f17936d9ba450f47011c49cd","6679910716"
"SRS023835","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS023835.scaffolds.fa.bz2","cfa1ea0cfec0c5d1a64333c2018537bc","28381115","/data/Illumina/tongue_dorsum/SRS023835.tar.bz2","656d1eddc2ad3f000f55dc931cd9d915","5822499875"
"SRS024081","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS024081.scaffolds.fa.bz2","6638ac97fb2e8813dc1cdbfaed7ed944","39181883","/data/Illumina/tongue_dorsum/SRS024081.tar.bz2","72fde2e998967381468d90097f7959f7","7573215102"
"SRS044662","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS044662.scaffolds.fa.bz2","204b1520e1d67f30ca4d9d169838a336","21121212","/data/Illumina/tongue_dorsum/SRS044662.tar.bz2","736fe29ec7c79fdf3724cc73a72523ae","4092820632"
"SRS045127","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS045127.scaffolds.fa.bz2","36c6b8784ace82e0a05a8308d52a8d0e","14296604","/data/Illumina/tongue_dorsum/SRS045127.tar.bz2","31f6cefb7adb38b350754561f9adf003","2405705857"
"SRS047210","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS047210.scaffolds.fa.bz2","92712cfd12e268fa9248229f5cbb2f64","29483466","/data/Illumina/tongue_dorsum/SRS047210.tar.bz2","69b7044c1fa3f9c778fd373947d662d1","5947807631"
"SRS047824","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS047824.scaffolds.fa.bz2","3c2480263cbc804d74374d248da9912d","32923595","/data/Illumina/tongue_dorsum/SRS047824.tar.bz2","3a34fe3f31466a9cab5a646f546b1b5b","6636476636"
"SRS048791","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS048791.scaffolds.fa.bz2","87a97b99bf6f54a127a01c7934a4b408","28749136","/data/Illumina/tongue_dorsum/SRS048791.tar.bz2","7100eb98175709ed348fea6d3e20cd6e","4602010403"
"SRS052227","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS052227.scaffolds.fa.bz2","18766cc3ef731fa28c8c5f3a5c642d39","15408396","/data/Illumina/tongue_dorsum/SRS052227.tar.bz2","262834c6b0fa4e02d827b5e7996d0a76","3166044433"
"SRS057539","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS057539.scaffolds.fa.bz2","3870b5bcd0417ce92b368bf517bdabb5","32627153","/data/Illumina/tongue_dorsum/SRS057539.tar.bz2","04e27d65de82e0fd9ff41c9ead03cdb1","6157438753"
"SRS062540","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS062540.scaffolds.fa.bz2","ababe0f2dd708743958d7f2146892d00","14376386","/data/Illumina/tongue_dorsum/SRS062540.tar.bz2","f14bbf5a01462f5570fb24c593489d65","1957219605"
"SRS065278","tongue_dorsum","/data/HMASM/PGAs/tongue_dorsum/SRS065278.scaffolds.fa.bz2","169dbef66bc9cd3fc1a525ef01a5c5f4","31200191","/data/Illumina/tongue_dorsum/SRS065278.tar.bz2","2e997e10207890c5943b2e893f7d9e55","5236413047"
"SRS011132","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS011132.scaffolds.fa.bz2","f045f8895e7c8ba62a9f4739c1a28fb0","42343","/data/Illumina/anterior_nares/SRS011132.tar.bz2","b6602114a83d101d97856f6212d42789","30874163"
"SRS015430","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS015430.scaffolds.fa.bz2","b69833bed137f3d1328ad7bcd4b32e2e","92236","/data/Illumina/anterior_nares/SRS015430.tar.bz2","86dbd47ab7007e6515f4b255cf95e1b8","35575892"
"SRS016188","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS016188.scaffolds.fa.bz2","a7c64a826826de284b83b6925a36306a","180957","/data/Illumina/anterior_nares/SRS016188.tar.bz2","76423400ce6ef6c2db9cfe0f840c3779","35536436"
"SRS017697","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS017697.scaffolds.fa.bz2","31da48838814d493bb14067334e01c02","599185","/data/Illumina/anterior_nares/SRS017697.tar.bz2","5ba8b1ef44f587caa3763c76afa73797","48153493"
"SRS018369","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS018369.scaffolds.fa.bz2","57742e10ab24b7aacbe3a9f3826f13e1","35681","/data/Illumina/anterior_nares/SRS018369.tar.bz2","f210fded21962231509c5dfae9497e28","25614289"
"SRS018463","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS018463.scaffolds.fa.bz2","e62bc474804b5064e8fcdb3d974bc856","194804","/data/Illumina/anterior_nares/SRS018463.tar.bz2","150a3559ceaf98dd8cb99e838c7e22c6","35647099"
"SRS018585","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS018585.scaffolds.fa.bz2","44bd3fefb5e8722b3128a09f1989758a","8061","/data/Illumina/anterior_nares/SRS018585.tar.bz2","9d4129d2f5fdd51b9fc899bd84c47b5b","17652230"
"SRS018784","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS018784.scaffolds.fa.bz2","b4fbd25bedd357f1f0cdef40d9001996","217081","/data/Illumina/anterior_nares/SRS018784.tar.bz2","e061c986c11bfc30735a61a2c23d3183","35267700"
"SRS019087","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019087.scaffolds.fa.bz2","59f14826230e11dffd64c5c553aab3b3","176215","/data/Illumina/anterior_nares/SRS019087.tar.bz2","fc6b8971e6c38991bb4670fafa7d7d19","51585202"
"SRS019386","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019386.scaffolds.fa.bz2","9fdc7951cbebfb81d5330175f7c7533c","573587","/data/Illumina/anterior_nares/SRS019386.tar.bz2","29502fb506bce65e2b551291c41ae09c","42299969"
"SRS019867","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019867.scaffolds.fa.bz2","9b8d28e288fea62eeef217bb92342520","969023","/data/Illumina/anterior_nares/SRS019867.tar.bz2","f5d859bcbe9ae88e9196260c8c7846ca","60795841"
"SRS044474","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS044474.scaffolds.fa.bz2","38db9289883fe43d24fed1e69e7fb018","3316423","/data/Illumina/anterior_nares/SRS044474.tar.bz2","0b60b8702094797f7448a15eb10deffa","241202975"
"SRS049744","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS049744.scaffolds.fa.bz2","6126c99791388f4c3e27834a4b2bf30c","14609","/data/Illumina/anterior_nares/SRS049744.tar.bz2","6d9e2ffc82b08ef37551e902096e4c98","22519445"
"SRS050484","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS050484.scaffolds.fa.bz2","1854114d8723853539f174553e233662","65526","/data/Illumina/anterior_nares/SRS050484.tar.bz2","4bb769aab6b4e008ae621fa8532210c4","467527955"
"SRS051613","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS051613.scaffolds.fa.bz2","3a57134fe4df0ed21dbdfb1e384d5a22","196934","/data/Illumina/anterior_nares/SRS051613.tar.bz2","bbb25b41df1a88f748789d94eebc2f3a","63601603"
"SRS052590","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS052590.scaffolds.fa.bz2","6e56386917996a4c41b2f023cb09075d","115703","/data/Illumina/anterior_nares/SRS052590.tar.bz2","93173e6051ad9c379b17a49a1b62f1fe","219829246"
